Epochs,Top1,Top5,Top1-MP,Top5-MP,Top1-DYN1000,Top5-DYN1000,Top1-BF16,Top5-BF16
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.25,0.01240,0.06740,0.01240,0.06420,0.01260,0.06800,0.01300,0.06720
0.5,0.05230,0.17180,0.04800,0.17020,0.04630,0.16930,0.04780,0.16810
0.75,0.09460,0.27620,0.09570,0.26780,0.09800,0.27700,0.10150,0.28230
1,0.15450,0.37780,0.15070,0.37120,0.13820,0.34880,0.14210,0.35870
1.25,0.19710,0.44380,0.18780,0.43360,0.17590,0.40880,0.17140,0.41080
1.5,0.21110,0.46620,0.21270,0.47390,0.21450,0.46990,0.20570,0.46950
1.75,0.24990,0.51230,0.23890,0.50140,0.23310,0.49010,0.22900,0.48480
2,0.25760,0.53260,0.26570,0.53470,0.25150,0.51890,0.26120,0.53240
2.25,0.29320,0.57130,0.28810,0.57160,0.27380,0.54010,0.26810,0.53820
2.5,0.30550,0.59560,0.31010,0.59420,0.29500,0.57830,0.29240,0.57570
2.75,0.31630,0.59090,0.31410,0.58380,0.30940,0.58610,0.31160,0.58600
3,0.33240,0.61400,0.34010,0.62290,0.32930,0.61350,0.31960,0.60530
3.25,0.35560,0.63720,0.33930,0.62730,0.34210,0.62560,0.32400,0.60390
3.5,0.34860,0.63900,0.34880,0.63330,0.34360,0.62840,0.34390,0.63940
3.75,0.36940,0.65040,0.37450,0.66360,0.36810,0.65850,0.35650,0.63590
4,0.39190,0.67580,0.37460,0.66070,0.37370,0.66150,0.37120,0.65790
4.25,0.40260,0.68260,0.38420,0.66460,0.37870,0.66540,0.37790,0.65480
4.5,0.40310,0.69110,0.39610,0.68280,0.38500,0.66810,0.38040,0.66240
4.75,0.40480,0.68210,0.40470,0.69590,0.37380,0.66220,0.39590,0.67620
5,0.41250,0.69690,0.40400,0.69470,0.40180,0.69540,0.39400,0.68300
5.25,0.43200,0.70760,0.41590,0.69480,0.40960,0.69360,0.40700,0.69220
5.5,0.42600,0.71180,0.42310,0.70130,0.41980,0.69970,0.42650,0.70160
5.75,0.42840,0.70290,0.42910,0.71130,0.41450,0.69760,0.42830,0.70530
6,0.44720,0.73060,0.43520,0.71610,0.42790,0.70750,0.42950,0.71280
6.25,0.44920,0.72440,0.44240,0.72530,0.44060,0.71870,0.43010,0.71320
6.5,0.43380,0.71430,0.46040,0.73170,0.43790,0.71600,0.42980,0.70610
6.75,0.45420,0.73690,0.45000,0.72940,0.43050,0.70940,0.44420,0.72020
7,0.44300,0.72440,0.44840,0.72760,0.45020,0.73300,0.44600,0.72610
7.25,0.46430,0.74210,0.43250,0.71560,0.45810,0.73820,0.44380,0.71710
7.5,0.47280,0.74570,0.46060,0.73760,0.45880,0.73580,0.44520,0.72890
7.75,0.46380,0.74540,0.47010,0.74880,0.46220,0.73780,0.45010,0.73010
8,0.47130,0.73930,0.45620,0.73890,0.45820,0.73670,0.46270,0.73770
8.25,0.46450,0.73950,0.46460,0.74000,0.46230,0.73570,0.45600,0.73580
8.5,0.47130,0.74780,0.46770,0.74250,0.45700,0.73410,0.45800,0.73970
8.75,0.47020,0.74800,0.46900,0.74470,0.46360,0.74040,0.45610,0.73570
9,0.48420,0.75720,0.48310,0.75490,0.46820,0.73820,0.46830,0.74330
9.25,0.47850,0.75580,0.47070,0.74170,0.46190,0.73820,0.46850,0.73990
9.5,0.48390,0.75720,0.47500,0.74560,0.46500,0.74470,0.46740,0.74460
9.75,0.47480,0.75040,0.49190,0.75790,0.47170,0.74750,0.47900,0.75230
10,0.48730,0.75820,0.48350,0.75450,0.48460,0.75330,0.47250,0.75110
10.25,0.48530,0.75630,0.47830,0.74470,0.48040,0.74900,0.46890,0.73840
10.5,0.49300,0.76990,0.48290,0.76080,0.47590,0.74800,0.46900,0.74130
10.75,0.48790,0.76400,0.49130,0.76010,0.48860,0.76510,0.48220,0.75310
11,0.49270,0.76390,0.49330,0.76700,0.48140,0.75550,0.47490,0.75140
11.25,0.49220,0.76450,0.48670,0.76690,0.47860,0.75380,0.48180,0.75420
11.5,0.49860,0.77060,0.49860,0.77150,0.48420,0.75530,0.48460,0.75750
11.75,0.49540,0.76690,0.49280,0.76570,0.50180,0.77150,0.48430,0.75420
12,0.49620,0.76520,0.48790,0.75880,0.49940,0.76890,0.47850,0.75280
12.25,0.49520,0.76570,0.49260,0.76800,0.49160,0.76200,0.48590,0.75680
12.5,0.50180,0.77010,0.49320,0.77270,0.49960,0.77100,0.49230,0.76220
12.75,0.49630,0.76780,0.50200,0.76610,0.49660,0.77190,0.48380,0.76070
13,0.50440,0.77560,0.50530,0.77370,0.50110,0.76600,0.49150,0.76390
13.25,0.49750,0.76850,0.49860,0.77280,0.48840,0.76170,0.47960,0.75300
13.5,0.49830,0.77130,0.50170,0.77460,0.49260,0.76250,0.48820,0.75450
13.75,0.49700,0.77070,0.49460,0.76980,0.49510,0.76330,0.49020,0.75920
14,0.50480,0.77240,0.48610,0.75310,0.49930,0.77330,0.49480,0.76480
14.25,0.49420,0.76440,0.49540,0.76580,0.50800,0.77610,0.48950,0.75720
14.5,0.50500,0.77360,0.50700,0.77500,0.51480,0.77180,0.49070,0.75340
14.75,0.50780,0.77650,0.50150,0.77330,0.50620,0.77020,0.48750,0.75040
15,0.50970,0.77660,0.50830,0.78030,0.49870,0.76630,0.49190,0.76190
15.25,0.51030,0.77160,0.49210,0.75860,0.51350,0.77460,0.49580,0.76540
15.5,0.51600,0.78350,0.51070,0.77830,0.50530,0.76990,0.49860,0.76120
15.75,0.51340,0.77490,0.49700,0.76930,0.50180,0.77160,0.49690,0.76170
16,0.51370,0.78140,0.51520,0.77960,0.50150,0.77170,0.49940,0.75800
16.25,0.51380,0.78060,0.50640,0.78010,0.50530,0.77620,0.49590,0.76770
16.5,0.52590,0.77990,0.51370,0.78210,0.50770,0.77250,0.49650,0.76540
16.75,0.51260,0.77800,0.51060,0.77860,0.51620,0.77440,0.49430,0.76090
17,0.51400,0.77800,0.50830,0.78080,0.50520,0.77050,0.49660,0.76510
17.25,0.51490,0.78080,0.51180,0.78160,0.51530,0.78380,0.49180,0.75880
17.5,0.51070,0.77950,0.51260,0.78190,0.50470,0.76730,0.49990,0.76630
17.75,0.51260,0.77260,0.50370,0.77210,0.51480,0.77760,0.50640,0.76930
18,0.52320,0.78250,0.50880,0.77870,0.52610,0.78710,0.49800,0.76430
18.25,0.51860,0.78650,0.51320,0.78060,0.52230,0.78580,0.49690,0.76800
18.5,0.52520,0.79260,0.51720,0.78270,0.51710,0.78330,0.49070,0.75850
18.75,0.52550,0.78790,0.51600,0.78020,0.51460,0.77490,0.49750,0.76670
19,0.51700,0.77670,0.51650,0.78010,0.52000,0.78430,0.50150,0.76500
19.25,0.51360,0.78110,0.51250,0.77720,0.52510,0.78280,0.49160,0.75800
19.5,0.50810,0.77540,0.51820,0.78150,0.51870,0.77930,0.49260,0.75830
19.75,0.50970,0.77360,0.51730,0.78350,0.50390,0.76960,0.50180,0.76530
20,0.52150,0.78150,0.51840,0.77910,0.51710,0.78460,0.50560,0.76670
20.25,0.56840,0.81920,0.57250,0.81440,0.56650,0.81600,0.54320,0.80320
20.5,0.57560,0.82400,0.57580,0.82180,0.57370,0.82430,0.55200,0.80880
20.75,0.58150,0.82640,0.58080,0.82370,0.57870,0.82620,0.56040,0.81490
21,0.58210,0.82770,0.58090,0.82290,0.58180,0.82910,0.56100,0.81510
21.25,0.58480,0.82810,0.58700,0.82980,0.58280,0.83070,0.56540,0.81520
21.5,0.58920,0.83190,0.58730,0.82930,0.58260,0.83020,0.56850,0.81940
21.75,0.59050,0.83240,0.58950,0.82930,0.58570,0.83070,0.57330,0.82060
22,0.59170,0.83140,0.58470,0.83190,0.58630,0.83160,0.57390,0.82090
22.25,0.58800,0.83420,0.59010,0.83180,0.59040,0.83210,0.57090,0.82170
22.5,0.59270,0.83510,0.58950,0.83550,0.58820,0.83450,0.57050,0.82290
22.75,0.59270,0.83350,0.59160,0.83230,0.59290,0.83280,0.56850,0.82140
23,0.59290,0.83520,0.59090,0.83370,0.58970,0.83330,0.57480,0.82570
23.25,0.59670,0.83640,0.59400,0.83630,0.59370,0.83550,0.57250,0.82290
23.5,0.59520,0.83810,0.59310,0.83690,0.59420,0.83490,0.57600,0.82510
23.75,0.59350,0.83930,0.59400,0.83570,0.59400,0.83520,0.57390,0.82300
24,0.59980,0.83830,0.59500,0.83520,0.59310,0.83620,0.58040,0.82620
24.25,0.59700,0.83840,0.59580,0.83880,0.59380,0.83470,0.57650,0.82530
24.5,0.60090,0.84080,0.59780,0.83910,0.59210,0.83560,0.58050,0.82580
24.75,0.59650,0.83940,0.59980,0.83850,0.59510,0.83520,0.58240,0.82840
25,0.59720,0.84050,0.59700,0.83690,0.59310,0.83560,0.58060,0.82770
25.25,0.59770,0.83860,0.59950,0.83910,0.59270,0.83720,0.57800,0.82550
25.5,0.60500,0.84240,0.60020,0.83990,0.59130,0.83610,0.57720,0.82760
25.75,0.59980,0.84220,0.59830,0.83860,0.59690,0.83750,0.58250,0.82860
26,0.59990,0.84170,0.59820,0.83660,0.59260,0.83480,0.58270,0.82850
26.25,0.60210,0.84230,0.60050,0.84200,0.59000,0.83630,0.57970,0.82680
26.5,0.60210,0.84050,0.59880,0.83740,0.59660,0.83640,0.57760,0.82610
26.75,0.59960,0.84150,0.60030,0.83970,0.59580,0.83830,0.58490,0.82960
27,0.60110,0.84150,0.59890,0.83880,0.59400,0.83790,0.58470,0.82700
27.25,0.60060,0.84370,0.60300,0.83950,0.59540,0.83770,0.58190,0.82740
27.5,0.60270,0.84320,0.60240,0.83990,0.59340,0.83690,0.57900,0.82580
27.75,0.60160,0.84150,0.60110,0.83890,0.59500,0.83710,0.58610,0.82940
28,0.59710,0.84140,0.60360,0.84040,0.59550,0.83830,0.58240,0.82850
28.25,0.60420,0.84060,0.60300,0.83980,0.59700,0.83610,0.58200,0.82960
28.5,0.60450,0.84280,0.60290,0.84240,0.59510,0.83790,0.58040,0.82650
28.75,0.60410,0.84140,0.60500,0.84160,0.59680,0.83830,0.58300,0.82820
29,0.60500,0.84280,0.60650,0.84120,0.59300,0.83540,0.58410,0.82720
29.25,0.60840,0.84270,0.60630,0.84230,0.59310,0.83720,0.58250,0.82710
29.5,0.60290,0.83810,0.60590,0.84280,0.58960,0.83650,0.58230,0.82720
29.75,0.60640,0.84320,0.60780,0.84370,0.59160,0.83710,0.58590,0.82820
30,0.60650,0.84300,0.60340,0.84030,0.59290,0.83710,0.58300,0.82830
30.25,0.60910,0.84450,0.60350,0.84420,0.59070,0.83600,0.58140,0.82920
30.5,0.60670,0.84410,0.60680,0.84220,0.59580,0.83770,0.58270,0.82980
30.75,0.60970,0.84720,0.60380,0.84280,0.59590,0.83930,0.58270,0.82860
31,0.60970,0.84500,0.60300,0.84340,0.59670,0.83680,0.58350,0.82900
31.25,0.60980,0.84450,0.60590,0.84500,0.59810,0.83930,0.58290,0.82910
31.5,0.60830,0.84350,0.60630,0.84470,0.59800,0.83830,0.57890,0.82780
31.75,0.60840,0.84740,0.60480,0.84350,0.60400,0.84400,0.58420,0.82640
32,0.60790,0.84500,0.60180,0.84430,0.60320,0.84020,0.57800,0.82560
