Epochs,Top1,Top5,Top1-MP,Top5-MP,Top1-DYN1000,Top5-DYN1000,Top1-BF16,Top5-BF16
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.25,0.02500,0.10990,0.04800,0.17810,0.02730,0.10600,0.04120,0.13600
0.5,0.10580,0.28060,0.10060,0.26860,0.06140,0.17310,0.08050,0.21590
0.75,0.10390,0.27540,0.10190,0.27550,0.08380,0.23220,0.06750,0.19790
1,0.05860,0.19070,0.06930,0.21880,0.04270,0.15820,0.02760,0.09820
1.25,0.06500,0.18260,0.04020,0.13790,0.01470,0.08230,0.02200,0.07230
1.5,0.06860,0.20820,0.05710,0.21080,0.01400,0.07020,0.02050,0.07280
1.75,0.08660,0.26560,0.11480,0.34270,0.05680,0.18800,0.04200,0.16110
2,0.08150,0.22590,0.06570,0.21050,0.05430,0.16130,0.05250,0.14600
2.25,0.17990,0.42870,0.11750,0.32040,0.11750,0.31620,0.09480,0.27740
2.5,0.16050,0.39320,0.18370,0.45400,0.11870,0.31380,0.14000,0.35110
2.75,0.25720,0.53050,0.22510,0.47870,0.19030,0.42670,0.20230,0.45490
3,0.20720,0.44760,0.22580,0.46770,0.16450,0.37060,0.20910,0.44310
3.25,0.31560,0.60900,0.32990,0.61150,0.38830,0.67120,0.37010,0.65650
3.5,0.27930,0.54760,0.39720,0.68540,0.30280,0.55010,0.36010,0.63840
3.75,0.41260,0.69610,0.42890,0.72000,0.44800,0.73680,0.40200,0.69830
4,0.37750,0.68240,0.43600,0.72970,0.40770,0.70850,0.37190,0.66200
4.25,0.48420,0.77270,0.46970,0.75190,0.45210,0.73840,0.45770,0.75020
4.5,0.40020,0.68190,0.42080,0.71760,0.50070,0.78640,0.54320,0.80870
4.75,0.55660,0.82190,0.52620,0.80840,0.54240,0.81820,0.54420,0.81880
5,0.56590,0.83230,0.54020,0.81300,0.52920,0.81450,0.50400,0.78860
5.25,0.56670,0.83610,0.54510,0.81570,0.58170,0.83750,0.54510,0.81840
5.5,0.56900,0.83000,0.57930,0.83530,0.60020,0.85810,0.55630,0.82760
5.75,0.61070,0.85640,0.61840,0.86330,0.61250,0.86620,0.60010,0.86030
6,0.62720,0.87510,0.60550,0.86140,0.57910,0.84460,0.59880,0.85150
6.25,0.61560,0.86200,0.59350,0.85010,0.62650,0.86720,0.59860,0.85830
6.5,0.64340,0.87680,0.63990,0.87220,0.63060,0.86740,0.61360,0.85870
6.75,0.65190,0.88430,0.64560,0.88230,0.64910,0.88690,0.62990,0.87830
7,0.65760,0.88820,0.67520,0.89630,0.64810,0.88080,0.63580,0.87560
7.25,0.65930,0.88810,0.64320,0.88590,0.65960,0.88750,0.62810,0.87440
7.5,0.68170,0.89450,0.66780,0.88460,0.67040,0.89540,0.67270,0.89390
7.75,0.68440,0.89590,0.67270,0.89540,0.67420,0.89740,0.67180,0.89630
8,0.69750,0.90580,0.69260,0.90150,0.67000,0.89440,0.66990,0.89730
8.25,0.68450,0.90150,0.67400,0.90080,0.66910,0.89590,0.66560,0.89590
8.5,0.69460,0.90200,0.69020,0.89960,0.68290,0.90350,0.68890,0.90180
8.75,0.69280,0.90510,0.69470,0.90720,0.69530,0.90440,0.68940,0.90390
9,0.70300,0.91180,0.70770,0.91090,0.68130,0.90200,0.69350,0.90500
9.25,0.69660,0.90890,0.69800,0.91100,0.69010,0.90290,0.68740,0.90310
9.5,0.70750,0.90890,0.71330,0.91150,0.70080,0.91150,0.70170,0.90810
9.75,0.71290,0.91260,0.71490,0.91440,0.70430,0.91190,0.70300,0.91100
10,0.71810,0.91700,0.71270,0.91550,0.70450,0.90940,0.70070,0.91020
10.25,0.71160,0.91550,0.71130,0.91620,0.70460,0.90970,0.69830,0.90930
10.5,0.71550,0.91330,0.72010,0.91410,0.70810,0.91170,0.70690,0.90950
10.75,0.72320,0.91700,0.72580,0.91950,0.71060,0.91200,0.70750,0.91240
11,0.72290,0.91930,0.72090,0.91980,0.71370,0.91380,0.70950,0.91130
11.25,0.71940,0.91750,0.72250,0.91920,0.71400,0.91480,0.71000,0.91250
11.5,0.72750,0.91660,0.72850,0.91800,0.71980,0.91400,0.71570,0.91370
11.75,0.72910,0.91710,0.72670,0.92080,0.71720,0.91540,0.71580,0.91390
12,0.73260,0.92100,0.72630,0.92120,0.72140,0.91590,0.72040,0.91600
12.25,0.72490,0.91900,0.72960,0.92080,0.71610,0.91410,0.71370,0.91470
12.5,0.73350,0.91860,0.73530,0.92210,0.72010,0.91620,0.72220,0.91510
12.75,0.72870,0.91890,0.73110,0.92310,0.71930,0.91550,0.71820,0.91630
13,0.73680,0.92230,0.73420,0.92570,0.72190,0.91750,0.72340,0.91870
13.25,0.73320,0.92230,0.73400,0.92270,0.71910,0.91750,0.71790,0.91580
13.5,0.73570,0.92030,0.73650,0.92350,0.72480,0.91950,0.72400,0.91760
13.75,0.73310,0.92210,0.73420,0.92630,0.72400,0.91710,0.72070,0.91790
14,0.73720,0.92280,0.73350,0.92500,0.72280,0.91830,0.72540,0.91820
14.25,0.73600,0.92220,0.73500,0.92360,0.72440,0.91840,0.72140,0.91700
14.5,0.73670,0.92240,0.73980,0.92500,0.72390,0.91820,0.72390,0.91720
14.75,0.73420,0.92350,0.73650,0.92650,0.72350,0.91820,0.72320,0.91820
15,0.73860,0.92270,0.73550,0.92530,0.72690,0.91910,0.72540,0.91960
15.25,0.73630,0.92270,0.73760,0.92630,0.72540,0.92010,0.72370,0.91740
15.5,0.73700,0.92180,0.73880,0.92590,0.72990,0.92090,0.72710,0.91850
15.75,0.73570,0.92370,0.73850,0.92650,0.72850,0.91940,0.72640,0.91840
16,0.74010,0.92360,0.73730,0.92670,0.72800,0.92020,0.72820,0.91880
